Subset,Kras-Ctrl,Kras-H3K36M,Kras-Setd2KO,Kras-H3K36M-Setd2KO
CD8.c01(Tn),5.4088050314465415,6.2978072412034685,4.826732673267327,8.010335917312661
CD8.c02(IL7R+ Tm),12.061495457721874,13.99796022437532,12.561881188118813,11.24031007751938
CD8.c04(ZNF683+CXCR6- Tm),27.53319357092942,30.392656807751145,24.814356435643564,31.653746770025844
CD8.c05(GZMK+ early Tem),3.6338225017470296,2.7281998980112188,2.846534653465347,1.6795865633074936
CD8.c06(GZMK+ Tem),11.69811320754717,9.561448240693524,9.962871287128714,8.04263565891473
CD8.c07(Temra),3.270440251572327,4.105048444671086,3.8366336633663365,5.426356589147287
CD8.c08(KIR+EOMES+ NK-like),2.0405310971348705,1.4788373278939317,2.2896039603960396,2.099483204134367
CD8.c09(KIR+TXK+ NK-like),2.431865828092243,3.136155022947476,3.217821782178218,2.3901808785529712
CD8.c10(ZNF683+CXCR6+ Trm),4.0251572327044025,3.7225905150433456,4.26980198019802,3.1653746770025837
CD8.c11(GZMK+ Tex),2.86512928022362,3.1871494135645078,3.341584158415842,4.3604651162790695
CD8.c12(terminal Tex),2.7812718378756114,3.3911269760326364,4.207920792079208,3.3268733850129197
CD8.c13(OXPHOS- Tex),3.759608665269042,3.620601733809281,4.517326732673268,2.454780361757106
CD8.c14(TCF7+ Tex),3.088749126484976,3.314635390107088,4.641089108910891,4.263565891472868
CD8.c15(ISG+ CD8+ T),10.034940600978338,5.685874553799082,7.920792079207921,6.072351421188631
CD8.c16(Tc17),2.6415094339622645,2.5752167261601224,4.26980198019802,3.8436692506459944
CD8.c17(NME1+ T),2.7253668763102725,2.8046914839367667,2.4752475247524752,1.970284237726098
