names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Cxcl16,106.31697,,0.0,0.0,1.0,1.0
Aif1,96.489265,,0.0,0.0,1.0,1.0
Marcks,90.33956,,0.0,0.0,1.0,1.0
Il10ra,84.176994,4.016056,0.0,0.0,1.0,1.0
Adgre5,83.88872,,0.0,0.0,1.0,1.0
Ciita,70.81809,,0.0,0.0,1.0,1.0
Irf5,65.73686,4.0407915,0.0,0.0,1.0,1.0
Rbpj,65.0443,,0.0,0.0,1.0,1.0
Itgb7,60.832,,0.0,0.0,1.0,1.0
Ighm,60.604618,,0.0,0.0,1.0,1.0
Ccr2,58.42009,,0.0,0.0,1.0,1.0
Ckb,56.971474,,0.0,0.0,1.0,1.0
Sema4d,56.61091,,0.0,0.0,1.0,1.0
Bcl6,55.024525,,0.0,0.0,1.0,1.0
Ifngr1,54.641766,6.4763284,0.0,0.0,1.0,1.0
Jaml,54.447044,,0.0,0.0,1.0,1.0
Cd72,54.105225,,0.0,0.0,1.0,1.0
Csf1r,52.377106,2.9982126,0.0,0.0,1.0,1.0
Rab43,51.934467,,0.0,0.0,1.0,1.0
Mafb,51.11239,,0.0,0.0,1.0,1.0
Itgam,50.80898,,0.0,0.0,1.0,1.0
Ccr5,49.148453,7.7129908,0.0,0.0,1.0,1.0
Itgae,48.621178,,0.0,0.0,1.0,1.0
Col1a2,48.501186,,0.0,0.0,1.0,1.0
Sh3bp1,47.657475,,0.0,0.0,1.0,1.0
Slc11a1,46.359715,,0.0,0.0,1.0,1.0
Cx3cr1,44.94769,,0.0,0.0,1.0,1.0
Irf8,44.911083,4.4651084,0.0,0.0,1.0,1.0
Itga4,44.490303,4.8529773,0.0,0.0,1.0,1.0
Cyp27a1,41.941376,,0.0,0.0,1.0,1.0
Maf,40.136646,,0.0,0.0,1.0,1.0
F13a1,39.477806,,0.0,0.0,1.0,1.0
Flt3,38.75906,,0.0,0.0,1.0,1.0
Hspa1b,38.694862,,0.0,0.0,1.0,1.0
Marcksl1,38.183773,,0.0,0.0,1.0,1.0
Jak2,37.418373,,1.9642290936677797e-306,2.3982758153416843e-305,1.0,1.0
Apobec3,37.02092,,5.276431528590042e-300,6.364774995691989e-299,1.0,1.0
Cd86,36.146023,,4.296142971378845e-286,4.9899052702372386e-285,1.0,1.0
Slc9a9,36.039787,5.1915903,1.9935343835320414e-284,2.2994546368574653e-283,1.0,1.0
Sorl1,35.550606,-2.2589917,8.131303945453859e-277,9.06577005588909e-276,1.0,1.0
Xcr1,35.30113,,5.642950608717686e-273,6.208485878514448e-272,1.0,1.0
Cmklr1,35.18316,,3.6186905666302583e-271,3.972623898366463e-270,1.0,1.0
Nfatc2,35.134056,,2.036559369783705e-270,2.2308569376667897e-269,1.0,1.0
Ntng2,34.482933,,1.4457649693229737e-260,1.5497857465590592e-259,1.0,1.0
Blnk,34.072613,,1.8775054344208662e-254,1.974536177460264e-253,1.0,1.0
C3ar1,34.011173,,1.5230702609944778e-253,1.598425519190431e-252,1.0,1.0
Ccl8,34.0015,,2.1169325455316877e-253,2.217021824881094e-252,1.0,1.0
Cyfip2,33.988476,,3.297454767523726e-253,3.4461500138254223e-252,1.0,1.0
Ddit4,33.091408,,3.950206525284904e-240,3.962872518151549e-239,1.0,1.0
Grk3,33.02081,,4.08386934198957e-239,4.088769985199958e-238,1.0,1.0
Col1a1,33.018433,,4.417972294862548e-239,4.414444971673036e-238,1.0,1.0
Tnfrsf14,32.603134,,3.7022993685281487e-233,3.655564228570397e-232,1.0,1.0
Fgfr1,32.384613,,4.520056259584377e-230,4.4194143819295686e-229,1.0,1.0
