tumor_barcode,Genotype,TAM 1,TAM 2,n_tam,pct_TAM1
Tumor_1,Kras-Ctrl,26,9,35,74.28571428571429
Tumor_2,Kras-Ctrl,622,840,1462,42.54445964432284
Tumor_3,Kras-Ctrl,44,60,104,42.30769230769231
Tumor_4,Kras-Ctrl,126,164,290,43.44827586206897
Tumor_7,Kras-Ctrl,10,1,11,90.9090909090909
Tumor_8,Kras-Ctrl,91,59,150,60.666666666666664
Tumor_9,Kras-Ctrl,12,17,29,41.37931034482759
Tumor_10,Kras-Ctrl,5,6,11,45.45454545454545
Tumor_11,Kras-Ctrl,311,413,724,42.95580110497237
Tumor_12,Kras-Ctrl,103,89,192,53.645833333333336
Tumor_13,Kras-Ctrl,95,113,208,45.67307692307692
Tumor_14,Kras-Ctrl,13,18,31,41.935483870967744
Tumor_15,Kras-Ctrl,18,15,33,54.54545454545455
Tumor_16,Kras-Ctrl,79,147,226,34.95575221238938
Tumor_17,Kras-Ctrl,28,24,52,53.84615384615385
Tumor_18,Kras-Ctrl,32,27,59,54.23728813559322
Tumor_19,Kras-Ctrl,14,5,19,73.6842105263158
Tumor_20,Kras-Ctrl,12,14,26,46.15384615384615
Tumor_22,Kras-Ctrl,3,18,21,14.285714285714286
Tumor_23,Kras-Ctrl,11,7,18,61.111111111111114
Tumor_25,Kras-Ctrl,2,17,19,10.526315789473685
Tumor_26,Kras-Ctrl,25,32,57,43.85964912280702
Tumor_27,Kras-Ctrl,9,24,33,27.272727272727273
Tumor_29,Kras-Ctrl,117,174,291,40.20618556701031
Tumor_30,Kras-Ctrl,82,107,189,43.386243386243386
Tumor_31,Kras-Ctrl,173,277,450,38.44444444444444
Tumor_32,Kras-Ctrl,38,14,52,73.07692307692308
Tumor_33,Kras-Ctrl,157,48,205,76.58536585365853
Tumor_34,Kras-Ctrl,42,51,93,45.16129032258065
Tumor_35,Kras-Ctrl,110,61,171,64.32748538011695
Tumor_36,Kras-Ctrl,188,94,282,66.66666666666667
Tumor_37,Kras-Ctrl,67,60,127,52.75590551181102
Tumor_39,Kras-Ctrl,235,176,411,57.17761557177616
Tumor_40,Kras-Ctrl,103,75,178,57.86516853932584
Tumor_42,Kras-Ctrl,66,71,137,48.175182481751825
Tumor_43,Kras-Ctrl,244,285,529,46.12476370510397
Tumor_44,Kras-Ctrl,53,16,69,76.81159420289855
Tumor_45,Kras-Ctrl,84,123,207,40.57971014492754
Tumor_46,Kras-Ctrl,159,179,338,47.0414201183432
