tumor_barcode,Cellular Neighborhood,count,total,fraction,Genotype
Tumor_103,Malignant 2 (AT2-like) enriched,4300.0,32423,0.13262190420380593,Kras-H3K36M-Setd2KO
Tumor_103,Malignant 1 enriched,25348.0,32423,0.7817907041297845,Kras-H3K36M-Setd2KO
Tumor_103,Malignant 1/2 co-enriched,1546.0,32423,0.047682200906763714,Kras-H3K36M-Setd2KO
Tumor_103,Large airway,145.0,32423,0.004472133978965549,Kras-H3K36M-Setd2KO
Tumor_103,Plasma/B/T co-enriched,171.0,32423,0.005274033864849027,Kras-H3K36M-Setd2KO
Tumor_103,Lymphatic endothelial enriched,465.0,32423,0.014341671035992968,Kras-H3K36M-Setd2KO
Tumor_103,Malignant 3 enriched,399.0,32423,0.012306079017981062,Kras-H3K36M-Setd2KO
Tumor_103,Lung parenchyma,49.0,32423,0.0015112728618573235,Kras-H3K36M-Setd2KO
Tumor_103,Pleura,0.0,32423,0.0,Kras-H3K36M-Setd2KO
Tumor_107,Malignant 2 (AT2-like) enriched,801.0,954,0.839622641509434,Kras-H3K36M-Setd2KO
Tumor_107,Malignant 1 enriched,0.0,954,0.0,Kras-H3K36M-Setd2KO
Tumor_107,Malignant 1/2 co-enriched,0.0,954,0.0,Kras-H3K36M-Setd2KO
Tumor_107,Large airway,37.0,954,0.03878406708595388,Kras-H3K36M-Setd2KO
Tumor_107,Plasma/B/T co-enriched,63.0,954,0.0660377358490566,Kras-H3K36M-Setd2KO
Tumor_107,Lymphatic endothelial enriched,47.0,954,0.049266247379454925,Kras-H3K36M-Setd2KO
Tumor_107,Malignant 3 enriched,0.0,954,0.0,Kras-H3K36M-Setd2KO
Tumor_107,Lung parenchyma,6.0,954,0.006289308176100629,Kras-H3K36M-Setd2KO
Tumor_107,Pleura,0.0,954,0.0,Kras-H3K36M-Setd2KO
Tumor_102,Malignant 2 (AT2-like) enriched,32.0,8424,0.003798670465337132,Kras-H3K36M-Setd2KO
Tumor_102,Malignant 1 enriched,7789.0,8424,0.9246201329534662,Kras-H3K36M-Setd2KO
Tumor_102,Malignant 1/2 co-enriched,206.0,8424,0.024453941120607788,Kras-H3K36M-Setd2KO
Tumor_102,Large airway,23.0,8424,0.0027302943969610637,Kras-H3K36M-Setd2KO
Tumor_102,Plasma/B/T co-enriched,113.0,8424,0.013414055080721748,Kras-H3K36M-Setd2KO
Tumor_102,Lymphatic endothelial enriched,201.0,8424,0.02386039886039886,Kras-H3K36M-Setd2KO
Tumor_102,Malignant 3 enriched,57.0,8424,0.006766381766381766,Kras-H3K36M-Setd2KO
Tumor_102,Lung parenchyma,3.0,8424,0.00035612535612535614,Kras-H3K36M-Setd2KO
Tumor_102,Pleura,0.0,8424,0.0,Kras-H3K36M-Setd2KO
Tumor_108,Malignant 2 (AT2-like) enriched,2279.0,25954,0.08780920089388919,Kras-H3K36M-Setd2KO
Tumor_108,Malignant 1 enriched,20416.0,25954,0.7866224859366572,Kras-H3K36M-Setd2KO
Tumor_108,Malignant 1/2 co-enriched,2097.0,25954,0.08079679432842722,Kras-H3K36M-Setd2KO
Tumor_108,Large airway,86.0,25954,0.0033135547507127995,Kras-H3K36M-Setd2KO
Tumor_108,Plasma/B/T co-enriched,291.0,25954,0.011212144563458426,Kras-H3K36M-Setd2KO
Tumor_108,Lymphatic endothelial enriched,484.0,25954,0.018648377899360406,Kras-H3K36M-Setd2KO
Tumor_108,Malignant 3 enriched,227.0,25954,0.008746243353625645,Kras-H3K36M-Setd2KO
Tumor_108,Lung parenchyma,74.0,25954,0.002851198273869153,Kras-H3K36M-Setd2KO
Tumor_108,Pleura,0.0,25954,0.0,Kras-H3K36M-Setd2KO
Tumor_106,Malignant 2 (AT2-like) enriched,1279.0,1375,0.9301818181818182,Kras-H3K36M-Setd2KO
Tumor_106,Malignant 1 enriched,0.0,1375,0.0,Kras-H3K36M-Setd2KO
Tumor_106,Malignant 1/2 co-enriched,9.0,1375,0.006545454545454545,Kras-H3K36M-Setd2KO
Tumor_106,Large airway,0.0,1375,0.0,Kras-H3K36M-Setd2KO
Tumor_106,Plasma/B/T co-enriched,16.0,1375,0.011636363636363636,Kras-H3K36M-Setd2KO
Tumor_106,Lymphatic endothelial enriched,20.0,1375,0.014545454545454545,Kras-H3K36M-Setd2KO
Tumor_106,Malignant 3 enriched,0.0,1375,0.0,Kras-H3K36M-Setd2KO
Tumor_106,Lung parenchyma,51.0,1375,0.03709090909090909,Kras-H3K36M-Setd2KO
Tumor_106,Pleura,0.0,1375,0.0,Kras-H3K36M-Setd2KO
Tumor_104,Malignant 2 (AT2-like) enriched,0.0,40,0.0,Kras-H3K36M-Setd2KO
Tumor_104,Malignant 1 enriched,28.0,40,0.7,Kras-H3K36M-Setd2KO
Tumor_104,Malignant 1/2 co-enriched,0.0,40,0.0,Kras-H3K36M-Setd2KO
Tumor_104,Large airway,0.0,40,0.0,Kras-H3K36M-Setd2KO
Tumor_104,Plasma/B/T co-enriched,0.0,40,0.0,Kras-H3K36M-Setd2KO
Tumor_104,Lymphatic endothelial enriched,11.0,40,0.275,Kras-H3K36M-Setd2KO
Tumor_104,Malignant 3 enriched,0.0,40,0.0,Kras-H3K36M-Setd2KO
Tumor_104,Lung parenchyma,1.0,40,0.025,Kras-H3K36M-Setd2KO
Tumor_104,Pleura,0.0,40,0.0,Kras-H3K36M-Setd2KO
Tumor_109,Malignant 2 (AT2-like) enriched,8.0,22661,0.0003530294338290455,Kras-H3K36M-Setd2KO
Tumor_109,Malignant 1 enriched,22203.0,22661,0.9797890649132871,Kras-H3K36M-Setd2KO
Tumor_109,Malignant 1/2 co-enriched,29.0,22661,0.00127973169763029,Kras-H3K36M-Setd2KO
Tumor_109,Large airway,0.0,22661,0.0,Kras-H3K36M-Setd2KO
Tumor_109,Plasma/B/T co-enriched,32.0,22661,0.001412117735316182,Kras-H3K36M-Setd2KO
