tumor_barcode,Cell Type,count,total,fraction,Genotype
Tumor_103,Malignant 2 (AT2-like),3589.0,32423,0.11069302655522315,Kras-H3K36M-Setd2KO
Tumor_103,Malignant 1,18993.0,32423,0.5857878666378805,Kras-H3K36M-Setd2KO
Tumor_103,TAM 2,531.0,32423,0.016377263054004873,Kras-H3K36M-Setd2KO
Tumor_103,Malignant 3,611.0,32423,0.01884464731826173,Kras-H3K36M-Setd2KO
Tumor_103,Tumor-associated vasculature,1966.0,32423,0.060635968294112205,Kras-H3K36M-Setd2KO
Tumor_103,AT1 cell,129.0,32423,0.003978657126114178,Kras-H3K36M-Setd2KO
Tumor_103,Proliferating malignant,1854.0,32423,0.057181630324152605,Kras-H3K36M-Setd2KO
Tumor_103,AT2 cell,365.0,32423,0.0112574407056719,Kras-H3K36M-Setd2KO
Tumor_103,Respiratory epithelium,141.0,32423,0.004348764765752707,Kras-H3K36M-Setd2KO
Tumor_103,T cell,520.0,32423,0.016037997717669554,Kras-H3K36M-Setd2KO
Tumor_103,TAM 1,1062.0,32423,0.032754526108009746,Kras-H3K36M-Setd2KO
Tumor_103,Neutrophil,136.0,32423,0.004194553249236653,Kras-H3K36M-Setd2KO
Tumor_103,CAF,1726.0,32423,0.05323381550134164,Kras-H3K36M-Setd2KO
Tumor_103,Plasma cell,260.0,32423,0.008018998858834777,Kras-H3K36M-Setd2KO
Tumor_103,Pericyte,125.0,32423,0.0038552879129013355,Kras-H3K36M-Setd2KO
Tumor_103,B cell,109.0,32423,0.0033618110600499647,Kras-H3K36M-Setd2KO
Tumor_103,Vascular endothelial,129.0,32423,0.003978657126114178,Kras-H3K36M-Setd2KO
Tumor_103,Lung fibroblast,69.0,32423,0.0021281189279215374,Kras-H3K36M-Setd2KO
Tumor_103,Airway smooth muscle,19.0,32423,0.000586003762761003,Kras-H3K36M-Setd2KO
Tumor_103,Lymphatic endothelial,89.0,32423,0.002744964993985751,Kras-H3K36M-Setd2KO
Tumor_103,Mesothelial,0.0,32423,0.0,Kras-H3K36M-Setd2KO
Tumor_107,Malignant 2 (AT2-like),475.0,954,0.4979035639412998,Kras-H3K36M-Setd2KO
Tumor_107,Malignant 1,22.0,954,0.023060796645702306,Kras-H3K36M-Setd2KO
Tumor_107,TAM 2,24.0,954,0.025157232704402517,Kras-H3K36M-Setd2KO
Tumor_107,Malignant 3,1.0,954,0.0010482180293501049,Kras-H3K36M-Setd2KO
Tumor_107,Tumor-associated vasculature,46.0,954,0.04821802935010482,Kras-H3K36M-Setd2KO
Tumor_107,AT1 cell,11.0,954,0.011530398322851153,Kras-H3K36M-Setd2KO
Tumor_107,Proliferating malignant,0.0,954,0.0,Kras-H3K36M-Setd2KO
Tumor_107,AT2 cell,17.0,954,0.01781970649895178,Kras-H3K36M-Setd2KO
Tumor_107,Respiratory epithelium,18.0,954,0.018867924528301886,Kras-H3K36M-Setd2KO
Tumor_107,T cell,49.0,954,0.051362683438155136,Kras-H3K36M-Setd2KO
Tumor_107,TAM 1,101.0,954,0.10587002096436059,Kras-H3K36M-Setd2KO
Tumor_107,Neutrophil,14.0,954,0.014675052410901468,Kras-H3K36M-Setd2KO
Tumor_107,CAF,42.0,954,0.0440251572327044,Kras-H3K36M-Setd2KO
Tumor_107,Plasma cell,29.0,954,0.03039832285115304,Kras-H3K36M-Setd2KO
Tumor_107,Pericyte,20.0,954,0.020964360587002098,Kras-H3K36M-Setd2KO
Tumor_107,B cell,9.0,954,0.009433962264150943,Kras-H3K36M-Setd2KO
Tumor_107,Vascular endothelial,36.0,954,0.03773584905660377,Kras-H3K36M-Setd2KO
Tumor_107,Lung fibroblast,32.0,954,0.033542976939203356,Kras-H3K36M-Setd2KO
Tumor_107,Airway smooth muscle,0.0,954,0.0,Kras-H3K36M-Setd2KO
Tumor_107,Lymphatic endothelial,8.0,954,0.008385744234800839,Kras-H3K36M-Setd2KO
Tumor_107,Mesothelial,0.0,954,0.0,Kras-H3K36M-Setd2KO
Tumor_102,Malignant 2 (AT2-like),480.0,8424,0.05698005698005698,Kras-H3K36M-Setd2KO
Tumor_102,Malignant 1,5759.0,8424,0.683641975308642,Kras-H3K36M-Setd2KO
Tumor_102,TAM 2,83.0,8424,0.009852801519468187,Kras-H3K36M-Setd2KO
Tumor_102,Malignant 3,112.0,8424,0.013295346628679962,Kras-H3K36M-Setd2KO
Tumor_102,Tumor-associated vasculature,455.0,8424,0.05401234567901234,Kras-H3K36M-Setd2KO
Tumor_102,AT1 cell,36.0,8424,0.004273504273504274,Kras-H3K36M-Setd2KO
Tumor_102,Proliferating malignant,379.0,8424,0.04499050332383666,Kras-H3K36M-Setd2KO
Tumor_102,AT2 cell,53.0,8424,0.006291547958214625,Kras-H3K36M-Setd2KO
Tumor_102,Respiratory epithelium,17.0,8424,0.0020180436847103515,Kras-H3K36M-Setd2KO
Tumor_102,T cell,121.0,8424,0.01436372269705603,Kras-H3K36M-Setd2KO
Tumor_102,TAM 1,269.0,8424,0.03193257359924027,Kras-H3K36M-Setd2KO
Tumor_102,Neutrophil,70.0,8424,0.008309591642924977,Kras-H3K36M-Setd2KO
Tumor_102,CAF,453.0,8424,0.053774928774928774,Kras-H3K36M-Setd2KO
Tumor_102,Plasma cell,15.0,8424,0.0017806267806267807,Kras-H3K36M-Setd2KO
Tumor_102,Pericyte,29.0,8424,0.003442545109211776,Kras-H3K36M-Setd2KO
Tumor_102,B cell,39.0,8424,0.004629629629629629,Kras-H3K36M-Setd2KO
Tumor_102,Vascular endothelial,23.0,8424,0.0027302943969610637,Kras-H3K36M-Setd2KO
Tumor_102,Lung fibroblast,8.0,8424,0.000949667616334283,Kras-H3K36M-Setd2KO
Tumor_102,Airway smooth muscle,2.0,8424,0.00023741690408357076,Kras-H3K36M-Setd2KO
