tumor_barcode,Module 6,Genotype
NoTumor,0.9706821549830662,Kras-H3K36M-Setd2KO
Tumor_1,0.4113484039098383,Kras-Ctrl
Tumor_2,1.4201877782879182,Kras-Ctrl
Tumor_3,0.6212486510948173,Kras-Ctrl
Tumor_4,1.451228098396492,Kras-Ctrl
Tumor_5,0.32427645267973837,Kras-Ctrl
Tumor_6,0.6547503149270063,Kras-Ctrl
Tumor_7,0.3413004361008702,Kras-Ctrl
Tumor_8,2.771529789216426,Kras-Ctrl
Tumor_9,0.16045102426563967,Kras-Ctrl
Tumor_10,-0.05095831773545033,Kras-Ctrl
Tumor_11,1.813837534725801,Kras-Ctrl
Tumor_12,1.2816883191803865,Kras-Ctrl
Tumor_13,1.4401678580612216,Kras-Ctrl
Tumor_14,0.5065369860922422,Kras-Ctrl
Tumor_15,0.29387282335001713,Kras-Ctrl
Tumor_16,0.2834309308776946,Kras-Ctrl
Tumor_17,1.259164087462571,Kras-Ctrl
Tumor_18,1.1735274060617458,Kras-Ctrl
Tumor_19,2.054002280090839,Kras-Ctrl
Tumor_20,0.4447389307616449,Kras-Ctrl
Tumor_21,1.8806791292403453,Kras-Ctrl
Tumor_22,0.5265158395090701,Kras-Ctrl
Tumor_23,1.3202406973171408,Kras-Ctrl
Tumor_24,0.9065440544990541,Kras-Ctrl
Tumor_25,1.128389954066539,Kras-Ctrl
Tumor_26,0.5889567519863431,Kras-Ctrl
Tumor_27,0.4997134354764365,Kras-Ctrl
Tumor_28,0.7738603104390813,Kras-Ctrl
Tumor_29,1.8440765868285198,Kras-Ctrl
Tumor_30,0.8560901035984992,Kras-Ctrl
Tumor_31,1.679942908172813,Kras-Ctrl
Tumor_32,1.064212585933732,Kras-Ctrl
Tumor_33,2.7953872811591025,Kras-Ctrl
Tumor_34,0.808409672717851,Kras-Ctrl
Tumor_35,2.2991053544662043,Kras-Ctrl
Tumor_36,2.678910229404922,Kras-Ctrl
Tumor_37,0.9238709077696444,Kras-Ctrl
Tumor_38,0.8539836033728048,Kras-Ctrl
Tumor_39,2.488438336694307,Kras-Ctrl
Tumor_40,2.1412729654792337,Kras-Ctrl
Tumor_41,0.5958917271474167,Kras-Ctrl
Tumor_42,2.1321388973676605,Kras-Ctrl
Tumor_43,0.9717591204024385,Kras-Ctrl
Tumor_44,1.4219778798378548,Kras-Ctrl
Tumor_45,1.0233799486854696,Kras-Ctrl
Tumor_46,2.029467647278314,Kras-Ctrl
Tumor_47,0.37313288483847595,Kras-Ctrl
Tumor_48,1.8998119960707436,Kras-Ctrl
Tumor_49,1.3951817020378507,Kras-Ctrl
Tumor_50,0.14279581319506426,Kras-Ctrl
Tumor_51,1.0950804445928992,Kras-Ctrl
Tumor_52,0.4501281756690715,Kras-Ctrl
Tumor_53,0.507056194945559,Kras-Ctrl
Tumor_54,0.9078744699472926,Kras-Ctrl
Tumor_55,4.391348926773223,Kras-H3K36M
Tumor_56,4.840901537491344,Kras-H3K36M
Tumor_57,4.7855041278641215,Kras-H3K36M
Tumor_58,2.671973285534655,Kras-H3K36M
Tumor_59,3.305337162350245,Kras-H3K36M
Tumor_60,5.58481904654075,Kras-H3K36M
Tumor_61,3.57223138966491,Kras-H3K36M
Tumor_62,4.842473951096813,Kras-H3K36M
Tumor_63,3.6583537134365804,Kras-H3K36M
Tumor_64,5.975377922944366,Kras-H3K36M
Tumor_65,1.1891013836809923,Kras-H3K36M
Tumor_66,1.5245580376908037,Kras-H3K36M
Tumor_67,5.4632717029146525,Kras-H3K36M
Tumor_68,1.239483057233328,Kras-H3K36M
Tumor_69,5.585678340337694,Kras-H3K36M
Tumor_70,4.861358186324085,Kras-H3K36M
