Niche,Malignant,Malignant,Malignant,Malignant,Plasma/B/T,Plasma/B/T,Plasma/B/T,Plasma/B/T
Genotype,Kras-Ctrl,Kras-H3K36M,Kras-H3K36M-Setd2KO,Kras-Setd2KO,Kras-Ctrl,Kras-H3K36M,Kras-H3K36M-Setd2KO,Kras-Setd2KO
Subset,,,,,,,,
CD8_naive,0.523,0.606,0.081,0.132,1.084,1.268,0.938,1.045
CD8_effector,0.342,0.379,0.034,0.094,0.469,0.274,0.185,0.348
CD8_memory,0.737,1.943,0.151,0.282,3.424,4.963,2.375,4.181
CD8_exhausted,0.445,0.858,0.054,0.083,2.05,1.646,1.766,2.425
CD4_naive,0.66,1.009,0.131,0.184,2.86,3.529,2.615,2.875
Treg,0.834,1.615,0.144,0.212,4.921,3.869,4.038,3.905
Tfh,0.525,1.236,0.116,0.169,2.346,3.132,2.183,2.816
Th1,0.529,0.58,0.078,0.108,1.866,1.679,1.143,1.597
Th17,0.271,1.514,0.102,0.104,1.715,2.312,1.561,2.337
Th2,0.252,0.379,0.052,0.08,0.966,1.16,0.746,1.35
NK,0.166,0.252,0.027,0.076,0.279,0.277,0.171,0.247
ILC2,0.157,0.479,0.046,0.092,1.123,1.127,1.027,1.336
Proliferating,0.338,0.631,0.164,0.151,1.402,1.479,1.3,1.786
