Niche,Malignant,Malignant,Malignant,Malignant,Plasma/B/T,Plasma/B/T,Plasma/B/T,Plasma/B/T
Genotype,Kras-Ctrl,Kras-H3K36M,Kras-H3K36M-Setd2KO,Kras-Setd2KO,Kras-Ctrl,Kras-H3K36M,Kras-H3K36M-Setd2KO,Kras-Setd2KO
Subset,,,,,,,,
CD8_naive,9.05,5.27,6.88,7.47,4.42,4.74,4.68,3.98
CD8_effector,5.92,3.3,2.91,5.31,1.91,1.03,0.92,1.33
CD8_memory,12.75,16.92,12.75,15.93,13.97,18.58,11.85,15.93
CD8_exhausted,7.69,7.47,4.59,4.72,8.37,6.16,8.81,9.24
CD4_naive,11.42,8.79,11.08,10.42,11.67,13.21,13.04,10.95
Treg,14.43,14.07,12.19,12.0,20.08,14.48,20.14,14.88
Tfh,9.08,10.77,9.82,9.54,9.57,11.72,10.89,10.73
Th1,9.15,5.05,6.62,6.1,7.61,6.29,5.7,6.08
Th17,4.68,13.19,8.61,5.9,7.0,8.65,7.78,8.9
Th2,4.37,3.3,4.41,4.52,3.94,4.34,3.72,5.14
NK,2.88,2.2,2.32,4.33,1.14,1.04,0.85,0.94
ILC2,2.72,4.18,3.89,5.21,4.58,4.22,5.12,5.09
Proliferating,5.85,5.49,13.94,8.55,5.72,5.54,6.49,6.8
