Niche,Malignant,Malignant,Malignant,Malignant,Plasma/B/T,Plasma/B/T,Plasma/B/T,Plasma/B/T
Genotype,Kras-H3K36M-Setd2KO,Kras-Ctrl,Kras-Setd2KO,Kras-H3K36M,Kras-H3K36M-Setd2KO,Kras-Ctrl,Kras-Setd2KO,Kras-H3K36M
Zheng_subset,,,,,,,,
CD8_naive,6.88,9.05,7.47,5.27,4.68,4.42,3.98,4.74
CD8_effector,2.91,5.92,5.31,3.3,0.92,1.91,1.33,1.03
CD8_memory,12.75,12.75,15.93,16.92,11.85,13.97,15.93,18.58
CD8_exhausted,4.59,7.69,4.72,7.47,8.81,8.37,9.24,6.16
CD4_naive,11.08,11.42,10.42,8.79,13.04,11.67,10.95,13.21
Treg,12.19,14.43,12.0,14.07,20.14,20.08,14.88,14.48
Tfh,9.82,9.08,9.54,10.77,10.89,9.57,10.73,11.72
Th1,6.62,9.15,6.1,5.05,5.7,7.61,6.08,6.29
Th17,8.61,4.68,5.9,13.19,7.78,7.0,8.9,8.65
Th2,4.41,4.37,4.52,3.3,3.72,3.94,5.14,4.34
NK,2.32,2.88,4.33,2.2,0.85,1.14,0.94,1.04
ILC2,3.89,2.72,5.21,4.18,5.12,4.58,5.09,4.22
Proliferating,13.94,5.85,8.55,5.49,6.49,5.72,6.8,5.54
